Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,Field14
11/8/2020,2020,Nov,40.8079,-71.7308,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,EEZ,AMCS169Mn2020,
11/27/2020,2020,Dec,40.9194444,-70.61027778,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,MMAN20-189,
12/4/2020,2020,Dec,41.168854,-70.12716,"Whale, humpback",Unk,Unknown,No,USA,MA,EEZ,NMFSGAR12042020Mn,
12/11/2020,2020,Dec,36.883333,-75.863333,"Whale, humpback",Unk,Moderate Decomposition,No,USA,VA,EEZ,VAQS20201094,
12/24/2020,2020,Dec,39.730746,-74.119083,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Ocean,MMSC-20-160,
12/28/2020,2020,Dec,42.065615,-70.244772,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW-20-307Mn,
1/6/2021,2021,Jan,35.7648,-75.5572,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,KLC352,
2/18/2021,2021,Feb,38.243085,-75.132879,"Whale, humpback",Unk,Moderate Decomposition,Yes,USA,MD,Worcester,21-MNO-02,
3/18/2021,2021,Mar,35.61345,-75.46645,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NC,Dare,CAHA527,
3/19/2021,2021,Mar,36.2849,-75.79441,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NC,Currituck,KLC357,
4/11/2021,2021,Apr,41.333377,-70.640908,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,Dukes,NMFSGAR04112021Mn,
7/20/2021,2021,Jul,41.5275,-69.296,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,NMFSGAR07202021Mn,
8/16/2021,2021,Aug,42.228855,-70.316827,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,NMFSGAR08162021Mn,
9/17/2021,2021,Sep,40.541871,-74.125844,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Richmond,AMCS130Mn2021,
9/20/2021,2021,Sep,37.1875,-75.89497,"Whale, humpback",Unk,Mummified/Skeletal Remains,No,USA,VA,Northampton,VAQS20211066,
11/22/2021,2021,Nov,42.03363,-70.169556,"Whale, humpback",Unk,Fresh Dead,Yes,USA,MA,Barnstable,IFAW21-284Mn,
1/8/2022,2022,Jan,41.485349,-71.190541,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,RI,Newport,SXMn2202_AMCS003Mn2022,
3/2/2022,2022,Mar,36.60651,-74.8961,"Whale, humpback",Unk,Advanced Decomposition,No,USA,VA,Virginia Beach,VAQS20221006,
3/16/2022,2022,Mar,34.047883,-77.825633,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NC,EEZ,WAM747,
5/1/2022,2022,May,42.1544167,-70.2214722,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW22-097Mn,
5/24/2022,2022,May ,39.120043,-74.729595,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NJ,Cape May,MMSC-22-072,
5/25/2022,2022,May ,41.284727,-70.212227,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Nantucket,NMFSGAR05252022Mn_MMAN22-101,
7/9/2022,2022,Jul,39.045933,-74.74333,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Cape May,MMSC-22-095,
7/26/2022,2022,Jul,41.882988,-70.046529,"Whale, humpback",Female,Fresh Dead,Yes,USA,MA,Barnstable,IFAW22-177Mn,
7/30/2022,2022,Jul,43.27667,-69.903889,"Whale, humpback",Unk,Unknown,No,USA,ME,EEZ,NMFSGAR073022Mn,
9/2/2022,2022,Sep,40.98944,-71.0508,"Whale, humpback",Unk,Advanced Decomposition,No,USA,RI,EEZ,SUMn2259Mn,
10/13/2022,2022,Oct,41.176248,-71.539367,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,RI,Washington,SYMn2263,
10/31/2022,2022,Oct,43.82797,-69.566442,"Whale, humpback",Male,Advanced Decomposition,No,USA,ME,Lincoln,MME-22-418Mn,
11/12/2022,2022,Nov,40.72302,-72.89396,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NY,Suffolk,AMCS123Mn2022,
12/3/2022,2022,Dec,40.981,-72.41743,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Suffolk,AMCS160Mn2022,
12/5/2022,2022,Dec,35.291305,-75.513288,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NC,Dare,CAHA 586Mn,
12/10/2022,2022,Dec,39.18651,-74.665974,"Whale, humpback",Female,Fresh Dead,No,USA,NJ,Cape May,MMSC-22-151,
12/21/2022,2022,Dec,36.416853,-74.783453,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NC,EEZ,NCUR20221221,
12/23/2022,2022,Dec,39.350358,-74.446686,"Whale, humpback",Female,Moderate Decomposition,No,USA,NJ,Atlantic,MMSC-22-154,
12/28/2022,2022,Dec,34.893952,-76.261643,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NC,Carteret,CALO22-06,
1/7/2023,2023,Jan,39.352564,-74.438584,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NJ,Atlantic,MMSC-23-001,
1/12/2023,2023,Jan,36.9203588,-76.0648251,"Whale, humpback",Unk,Unknown,Yes,USA,VA,Virginia Beach,VAQS20231002,
1/12/2023,2023,Jan,39.43341,-74.336033,"Whale, humpback",Unk,Unknown,Yes,USA,NJ,Atlantic,MMSC-23-002,
1/16/2023,2023,Jan,38.131602,-75.177917,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MD,Worcester,23-MNO-01,
1/18/2023,2023,Jan,39.333667,-73.489433,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,EEZ,MMSC-23-003,
1/28/2023,2023,Jan,39.431517,-74.0971,"Whale, humpback",Unk,Unknown,No,USA,NJ,EEZ,MMSC-23-005,
1/30/2023,2023,Jan,40.585341,-73.622896,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS013Mn2023,
2/7/2023,2023,Feb,36.9405,-76.044667,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Northumberland,VAQS20231003,
2/11/2023,2023,Feb,37.2426556,-76.0190306,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Northampton,VAQS20231004,
2/13/2023,2023,Feb,40.103389,-74.033872,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NJ,Monmouth,MMSC-23-015-Mn_AMCS018Mn2023,
2/27/2023,2023,Feb,40.4936,-73.8885,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,EEZ,AMCS022Mn2023,
3/1/2023,2023,Mar,39.931917,-74.071392,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NJ,Ocean,MMSC-23-016-Mn,
3/9/2023,2023,Mar,37.23713,-76.01584,"Whale, humpback",Female,Moderate Decomposition,No,USA,VA,Northampton,VAQS20231010,
