ObjectID,Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County,Field Number
87,"February 3, 2019",2019,Feb,35.791975,-74.599389,"Whale, humpback",Unk,Moderate Decomposition,USA,NC,EEZ,NCUR20190203
88,"February 12, 2019",2019,Feb,35.8025,-75.5433,"Whale, humpback",Male,Moderate Decomposition,USA,NC,Dare,CAHA451
89,"February 17, 2019",2019,Feb,36.2817651,-75.7934379,"Whale, humpback",Male,Fresh Dead,USA,NC,Currituck,KLC310
90,"February 17, 2019",2019,Feb,36.6583,-75.9041,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20191003
91,"March 13, 2019",2019,Mar,36.61778,-75.805,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Virginia Beach,VAQs20191009
92,"March 15, 2019",2019,Mar,37.4859,-75.497815,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Accomack,VAQS20191011
93,"March 17, 2019",2019,Mar,36.333674,-75.811672,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Currituck,KLC319
94,"March 24, 2019",2019,Mar,31.90402,-80.2366,"Whale, humpback",Unk,Moderate Decomposition,USA,GA,EEZ,GA2019012
95,"April 14, 2019",2019,Apr,37.20105,-75.828477,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Northampton,VAQS20191024
96,"May 2, 2019",2019,May,36.85667,-74.541667,"Whale, humpback",Unk,Advanced Decomposition,USA,VA,Virginia Beach,VAQS20191045
97,"May 4, 2019",2019,May,42.29306,-70.45861,"Whale, humpback",Female,Moderate Decomposition,USA,MA,Barnstable,IFAW19-287Mn
98,"May 5, 2019",2019,May,40.7676,-72.741,"Whale, humpback",Female,Fresh Dead,USA,NY,Suffolk,AMCS110Mn2019
99,"May 29, 2019",2019,May,42.503689,-70.065064,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR05292019Mn
100,"June 6, 2019",2019,Jun,39.196448,-74.650725,"Whale, humpback",Female,Advanced Decomposition,USA,DE,Cape May,MMSC-19-115
101,"June 16, 2019",2019,Jun,41.76666667,-66.81666667,"Whale, humpback",Unk,Unknown,USA,MA,EEZ,GARFO061619Mn
102,"July 25, 2019",2019,Jul,40.995,-71.759,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS165Mn2019
103,"August 9, 2019",2019,Aug,40.6545,-72.7029,"Whale, humpback",Male,Advanced Decomposition,USA,NY,Suffolk,AMCS171Mn2019
104,"August 10, 2019",2019,Aug,40.33875,-73.92265,"Whale, humpback",Female,Advanced Decomposition,USA,NJ,Monmouth,MMSC-19-147
105,"August 26, 2019",2019,Aug,42.2313889,-70.6191666666666,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,Plymouth,NMFSGARFO082619Mn
106,"September 30, 2019",2019,Sep,40.58199,-73.6493,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Nassau,AMCS190Mn2019
107,"October 4, 2019",2019,Oct,39.138255,-75.409333,"Whale, humpback",Unk,Moderate Decomposition,USA,NJ,Cumberland,MMSC-19-172
108,"October 9, 2019",2019,Oct,39.773099,-74.094958,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Ocean,MMSC-19-177
109,"October 18, 2019",2019,Oct,39.895392,-74.079367,"Whale, humpback",Unk,Moderate Decomposition,USA,NJ,Ocean,MMSC-19-181
110,"October 26, 2019",2019,Oct,39.896979,-74.032293,"Whale, humpback",Unk,Fresh Dead,USA,NJ,Ocean,MMSC-19-185
111,"October 29, 2019",2019,Oct,36.882978,-75.982775,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20191101
112,"November 14, 2019",2019,Nov,40.8608,-72.4145,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Suffolk,AMCS207Mn2019
113,"December 13, 2019",2019,Dec,41.172667,-71.13225,"Whale, humpback",Male,Advanced Decomposition,USA,RI,Newport,SYMn19123
114,"January 15, 2020",2020,Jan,38.6175,-75.04694,"Whale, humpback",Unk,Unknown,USA,DE,Sussex,MERR-ST1843Mn
115,"January 23, 2020",2020,Jan,36.334,-75.8122,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Currituck,KLC333
116,"January 28, 2020",2020,Jan,37.662767,-76.153683,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Accomack,VAQS20201002
117,"February 4, 2020",2020,Feb,37.087341,-75.940227,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Northampton,VAQS20201004
118,"February 5, 2020",2020,Feb,37.385,-75.618,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Northampton,VAQS20201005
119,"February 8, 2020",2020,Feb,41.92581,-70.06562,"Whale, humpback",Female,Moderate Decomposition,USA,MA,Barnstable,IFAW20-009Mn
