Obs_Date,Year,Month,lat,lon,ComName,Carcass Condition,State,County
4/23/2017,2017,Apr,39.181077,-75.403408,"Whale, humpback",Advanced Decomposition,DE,New Castle
5/4/2017,2017,May,38.734638,-75.07848,"Whale, humpback",Moderate Decomposition,DE,Sussex
5/17/2017,2017,May,36.8724,-75.4349,"Whale, humpback",Moderate Decomposition,Va,EEZ
6/3/2017,2017,Jun,39.6293,-73.9746,"Whale, humpback",Fresh Dead,NJ,Ocean
6/15/2017,2017,Jun,41.4545,-71.40061,"Whale, humpback",Advanced Decomposition,RI,Newport
6/18/2017,2017,Jun,41.59985,-69.9836,"Whale, humpback",Fresh Dead,MA,Barnstable
6/21/2017,2017,Jun,41.624086,-69.965721,"Whale, humpback",Fresh Dead,MA,Barnstable
7/6/2017,2017,Jul,41.12505,-70.561933,"Whale, humpback",Advanced Decomposition,MA,EEZ
7/27/2017,2017,Jul,41.765317,-69.85965,"Whale, humpback",Moderate Decomposition,MA,Barnstable
8/8/2017,2017,Aug,41.244043,-70.060549,"Whale, humpback",Advanced Decomposition,MA,Nantucket
8/17/2017,2017,Aug,41.6055556,-67.6105555555555,"Whale, humpback",Advanced Decomposition,MA ,EEZ
9/5/2017,2017,Sep,41.1519889,-71.5522528,"Whale, humpback",Moderate Decomposition,RI,Washington
10/1/2017,2017,Oct,41.1728,-71.5543,"Whale, humpback",Advanced Decomposition,RI,Washington
10/19/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Advanced Decomposition,NY,Suffolk
10/20/2017,2017,Oct,40.64,-72.47,"Whale, humpback",Fresh Dead,NY,EEZ
10/31/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Mummified/Skeletal Remains,NY,Suffolk
11/26/2017,2017,Nov,36.91309,-76.080326,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach
12/19/2017,2017,Dec,40.6811111,-69.9430555555555,"Whale, humpback",Moderate Decomposition,MA,EEZ
12/26/2017,2017,Dec,40.583436,-73.702792,"Whale, humpback",Moderate Decomposition,NY,Nassau
1/7/2018,2018,Jan,37.124171,-75.096376,"Whale, humpback",Moderate Decomposition,VA,Northampton
1/22/2018,2018,Jan,36.696667,-75,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach
1/28/2018,2018,Jan,30.5997,-81.4422,"Whale, humpback",Advanced Decomposition,FL,Nassau
2/5/2018,2018,Feb,34.60827,-76.52822,"Whale, humpback",Advanced Decomposition,NC,Carteret
2/11/2018,2018,Feb,37.853154,-75.393012,"Whale, humpback",Moderate Decomposition,VA,Accomack
2/12/2018,2018,Feb,40.54302,-73.93919,"Whale, humpback",Moderate Decomposition,NY,Queens
2/24/2018,2018,Feb,30.87763,-80.89457,"Whale, humpback",Fresh Dead,GA,EEZ
2/28/2018,2018,Feb,36.308458,-75.431021,"Whale, humpback",Moderate Decomposition,NC,Currituck
2/28/2018,2018,Feb,39.391354,-72.9566171,"Whale, humpback",Unknown,NY,EEZ
3/1/2018,2018,Mar,42.1158333,-67.4336111111111,"Whale, humpback",Moderate Decomposition,MA,EEZ
4/17/2018,2018,Apr,44.77374,-67.024449,"Whale, humpback",Advanced Decomposition,ME,Washington
5/5/2018,2018,May,40.4674,-74.0104,"Whale, humpback",Moderate Decomposition,NJ,Monmouth
